2025-07-08 06:08:56 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2025-07-08 06:08:56 startup packages configure
2025-07-08 06:08:56 configure lsb-base:all 11.1.0ubuntu2 <none>
2025-07-08 06:08:56 status unpacked lsb-base:all 11.1.0ubuntu2
2025-07-08 06:08:56 status half-configured lsb-base:all 11.1.0ubuntu2
2025-07-08 06:08:56 status installed lsb-base:all 11.1.0ubuntu2
2025-07-08 06:08:56 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2025-07-08 06:08:56 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2025-07-08 06:08:56 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2025-07-08 06:08:56 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2025-07-08 06:08:56 configure libsemanage-common:all 3.0-1build2 <none>
2025-07-08 06:08:56 status unpacked libsemanage-common:all 3.0-1build2
2025-07-08 06:08:56 status half-configured libsemanage-common:all 3.0-1build2
2025-07-08 06:08:56 status installed libsemanage-common:all 3.0-1build2
2025-07-08 06:08:56 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2025-07-08 06:08:56 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:56 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:56 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:56 configure ncurses-base:all 6.2-0ubuntu2 <none>
2025-07-08 06:08:56 status unpacked ncurses-base:all 6.2-0ubuntu2
2025-07-08 06:08:56 status half-configured ncurses-base:all 6.2-0ubuntu2
2025-07-08 06:08:56 status installed ncurses-base:all 6.2-0ubuntu2
2025-07-08 06:08:56 configure sensible-utils:all 0.0.12+nmu1 <none>
2025-07-08 06:08:56 status unpacked sensible-utils:all 0.0.12+nmu1
2025-07-08 06:08:56 status half-configured sensible-utils:all 0.0.12+nmu1
2025-07-08 06:08:56 status installed sensible-utils:all 0.0.12+nmu1
2025-07-08 06:08:56 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2025-07-08 06:08:56 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2025-07-08 06:08:56 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2025-07-08 06:08:56 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2025-07-08 06:08:56 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2025-07-08 06:08:56 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:56 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:56 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:56 configure libc6:amd64 2.31-0ubuntu9 <none>
2025-07-08 06:08:56 status unpacked libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:56 status half-configured libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:57 status installed libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:57 configure libudev1:amd64 245.4-4ubuntu3 <none>
2025-07-08 06:08:57 status unpacked libudev1:amd64 245.4-4ubuntu3
2025-07-08 06:08:57 status half-configured libudev1:amd64 245.4-4ubuntu3
2025-07-08 06:08:57 status installed libudev1:amd64 245.4-4ubuntu3
2025-07-08 06:08:57 configure libsepol1:amd64 3.0-1 <none>
2025-07-08 06:08:57 status unpacked libsepol1:amd64 3.0-1
2025-07-08 06:08:57 status half-configured libsepol1:amd64 3.0-1
2025-07-08 06:08:57 status installed libsepol1:amd64 3.0-1
2025-07-08 06:08:57 configure libattr1:amd64 1:2.4.48-5 <none>
2025-07-08 06:08:57 status unpacked libattr1:amd64 1:2.4.48-5
